Year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond,Real Estate,Gold*,S&P 500 (includes dividends)3,US Small cap (bottom decile) Cum Value,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2,Stocks - Bills,Stocks - Bonds,Small Cap Premium (S&P 500 minus Bottom Decile),Stocks - Baa Corp Bond,Historical ERP,Inflation Rate,S&P 500 (includes dividends)2,US Small cap (bottom decile)22,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3,Gold,S&P 500 (includes dividends)3.1,US Small cap (bottom decile)22.1,3-month T.Bill4.1,US T. Bond5.1, Baa Corporate Bond2.1,Real Estate2.1,Gold2.1,Stocks minus T. Bills,Stocks minus T.Bonds
1950,0.30805539011316263,0.5281,0.012033333333333333,0.00429595741710961,0.042388173056720914,0.03640392529281433,0.09561375828337004,355.5968235411095,152.81,124.4446129035306,199.2725298476397,366.64782215329734,199.21692538467147,168.21705426356587,0.2960220567798293,0.30375943269605304,0.22004460988683738,0.2656672170564417,,0.059322,0.23480432778056382,0.44252644616084624,-0.044640502761829515,-0.051944585860475456,-0.015985533145992714,-0.02163466321589258,0.034259420915802696,246.0729972230425,1314.9952600995935,86.11567049583866,137.89658803900426,253.7202881176259,137.85810975136005,116.40619934244555,0.27944483054239333,0.28674891364103927
1951,0.2367846304454234,0.0387,0.015175000000000001,-0.0029531392208319886,-0.001909809130136969,0.060476481368356705,0.0,439.7966859908575,103.86999999999999,126.33305990434167,198.68405032411223,365.94759479500414,211.26486406095887,168.21705426356587,0.2216096304454234,0.23973776966625537,-0.1980846304454234,0.23869443957556036,,0.06,0.16677795325039924,-0.02009433962264162,-0.04228773584905676,-0.05938975398191704,-0.058405480311449987,0.0004495107248647656,-0.05660377358490576,287.1125480500927,1288.5712987409884,82.47403376944622,129.70694360042202,238.90163282535647,137.92007845020288,109.81716919098635,0.209065689099456,0.22616770723231627
1952,0.18150988641144306,0.0102,0.017225,0.022679961918305656,0.04441241504740077,0.044066820276497776,-0.003456221198156584,519.6241325091871,101.02,128.50914686119395,203.19019701923781,382.2002112606379,220.57463485627187,167.63565891472868,0.16428488641144307,0.1588299244931374,-0.17130988641144307,0.1370974713640423,,0.0075472,0.172659589954141,0.0026329287600619367,0.009605306828305293,0.015019407446425825,0.0365890700181597,0.03624606398240959,-0.010920998240237956,336.6852828671103,1291.9640151728338,83.26622216916977,131.65506503498733,247.64282139625612,142.9191384381679,108.61785607950367,0.1630542831258357,0.15764018250771517
1953,-0.012082047421904465,-0.059699999999999996,0.018908333333333333,0.04143840258908851,0.016201123818443276,0.11516568544995809,0.006936416184971206,513.3460090986451,94.03,130.93904064642769,211.61007420547722,388.3922842067066,245.97726387236864,168.79844961240312,-0.030990380755237797,-0.05352045001099298,-0.047617952578095535,-0.02828317124034774,,0.007490599999999999,-0.01942712658748813,-0.06669104406532411,0.011332843535545978,0.03369540379740377,0.00864576187454591,0.10687453108739486,-0.0005500635093058648,330.1444552567067,1205.8015861061292,84.20986523680898,136.0912356133147,249.78388225998887,158.19355434216155,108.5581093604153,-0.03075997012303411,-0.0531225303848919
1954,0.525633212414349,0.6496999999999999,0.0093752,0.032898034558095555,0.061579051817707856,0.009227220299884653,0.0057405281285876075,783.1777209412517,164.97,132.16662034029608,218.57162973953018,412.3091128014694,248.24695027488184,169.76744186046508,0.516258012414349,0.4927351778562535,0.12406678758565093,0.4640541605966412,,-0.0074348999999999995,0.5370611080465644,0.6620572292940785,0.016936017597233732,0.04063505210700602,0.06953090715934707,0.016786929441589882,0.013274119882501934,507.452202212303,2004.1112432819584,85.63604499632025,141.62131006376856,267.15158218730943,160.84913837701774,109.9991227182832,0.5201250904493306,0.49642605593955835
1955,0.3259733185102835,0.2672,0.017243426294820716,-0.013364391288618781,0.02044690004344954,0.0,-0.00028538812785383616,1038.4727616197922,126.71999999999998,134.4456257167695,215.65055295509998,420.7395560179244,248.24695027488184,169.718992248062,0.30872989221546276,0.33933770979890227,-0.0587733185102835,0.3055264184668339,,0.0037452999999999996,0.3210256810271326,0.262471664873549,0.01344776039780271,-0.017045849468604102,0.016639280944527934,-0.0037313250682220467,-0.0040156483202002935,670.3573910162257,2530.133657897972,86.78765801084622,139.20725453087505,271.5967924180992,160.24895795478966,109.55740492591602,0.30757792062932987,0.3380715304957367
1956,0.07439511873350935,-0.0089,0.026213888888888887,-0.022557738173154165,-0.023526541979620903,0.00914285714285712,-0.0011418783899515006,1115.730066022012,99.11,137.96996841090606,210.7859642446429,410.8410091907816,250.51663667739504,169.52519379844958,0.04818122984462046,0.09695285690666351,-0.08329511873350935,0.09792166071313024,,0.029850699999999997,0.04325327810478674,-0.03762749299485835,-0.0035313964549530397,-0.05088935529504823,-0.0518300778740266,-0.02010761643133585,-0.030094244136505854,699.3525456794498,2434.931071409361,86.48117638301304,132.12308709540514,257.51990951673326,157.02673337471347,106.26035763511346,0.04678467455973978,0.09414263339983497
1957,-0.1045736018855796,-0.1519,0.03224566929133858,0.0679701284662499,-0.007189284402542365,0.027180067950169917,-0.0011431837667904565,999.0541542860545,84.81,142.4189023844206,225.11311331323367,407.88735633148156,257.32569588493465,169.3313953488372,-0.13681927117691817,-0.17254373035182952,-0.04732639811442041,-0.09738431748303723,,0.0289855,-0.1297968745775132,-0.17579013504077567,0.003168333558965175,0.03788647018471081,-0.035155776638779224,-0.001754574821346111,-0.02927998865561332,608.5787710224297,2006.8942095513287,86.75517759636612,137.12876449535716,248.46659709772436,156.75121822205597,103.14905556901593,-0.13296520813647839,-0.16768334476222402
1958,0.43719954988747184,0.688,0.017665461847389558,-0.020990181755274694,0.06430092897336026,0.006615214994487362,0.0042918454935620964,1435.8401808531264,168.79999999999998,144.93479807083966,220.38794814929315,434.1148922600838,259.02796068681954,170.05813953488368,0.4195340880400823,0.4581897316427465,0.2508004501125281,0.3728986209141116,,0.0176056,0.41233455268669106,0.6587959028527359,5.882617724339845e-05,-0.03792803592597627,0.045887452833750286,-0.010800240294975394,-0.013083413167574887,859.5168263465794,3329.027892262624,86.76028107182019,131.92773978909253,259.8680963528086,155.05826739872765,101.79951385716136,0.41227572650944766,0.4502625886126673
1959,0.12056457163557326,0.127,0.0338601593625498,-0.026466312591385065,0.015743430895022732,0.0010952902519167917,0.0,1608.9516371948275,112.7,149.84231343069726,214.55509182219998,440.94935006688075,259.3116714871337,170.05813953488368,0.08670441227302345,0.1470308842269583,0.006435428364426746,0.10482114074055052,,0.017301,0.1015073922423877,0.10783337478288146,0.01627754161506756,-0.04302297215021422,-0.0015310798917697044,-0.015930103035466603,-0.017006765942430002,946.7641379774739,3688.008204631645,88.1725251575017,126.25181631430569,259.47021753597033,152.588173222565,100.06823335193945,0.08522985062732014,0.14453036439260192
