vintage,CAPE,realized,pred_l0.0,pred_l0.5,pred_l1.0
1959,18.62472897790011,0.07776881198348295,0.07220345893630487,0.059623080039524656,0.04704270114274445
1960,17.562090833957136,0.0811016726360676,0.07104938370473352,0.06146735469552467,0.05188532568631582
1961,22.041480198382256,0.06659263212204714,0.05963976378779029,0.039286021936929094,0.0189322800860679
1962,18.585836118439865,0.09908794286860201,0.06606631420603723,0.054136615221994505,0.04220691623795178
1963,21.038599376737046,0.05757453040042915,0.06369971800428034,0.04598203206443788,0.028264346124595413
1964,22.752984772787265,0.010455049086439017,0.06447346637117804,0.04329791197136526,0.02212235757155248
1965,23.69411154910632,0.031304188038792535,0.06590583353662008,0.04311568505505883,0.020325536573497588
1966,19.736473752791966,0.06166207019832726,0.07200920400652497,0.058265037872971576,0.04452087173941818
1967,21.75159780872363,0.03490616951540937,0.067500290376543,0.04929835516146426,0.031096419946385526
1968,22.27787299543487,0.028076635514147297,0.06860840327623133,0.04949104947534419,0.030373695674457052
1969,17.326929913742678,0.058429542262945944,0.07886164295778783,0.07214280652653357,0.06542397009527931
1970,15.873840687205737,0.08387965269488307,0.08322807787357749,0.0808506553172365,0.0784732327608955
1971,16.60355721292533,0.06739155494073268,0.08193878672970743,0.07739211785585741,0.07284544898200739
1972,18.645719442073673,0.0650266649255149,0.0798823105400525,0.06971337780239688,0.059544445064741255
1973,13.493329686205893,0.10771842775991902,0.09570376805433646,0.10167055914281899,0.10763735023130151
1974,8.289060055923082,0.147006795552576,0.12488248194603759,0.15595454337825954,0.1870266048104815
1975,10.250368416256839,0.14132720728857606,0.11775981052810124,0.1374943283440747,0.15722884616004817
1976,11.597589726582944,0.1428090201979384,0.11638145012523188,0.12961158497126596,0.14284171981730004
1977,9.678266582535928,0.1501553031410372,0.13117892694483196,0.15361285007150421,0.17604677319817646
1978,9.011941819133831,0.16135848539993258,0.13843667077459043,0.16440876657118653,0.19038086236778262
1979,8.745204404669296,0.17269199845267114,0.14501903923892995,0.17235865045254178,0.19969826166615362
1980,9.389902084921744,0.13941103473808125,0.1456124700398728,0.16900101720016894,0.1923895643604651
1981,7.832562137141898,0.16530688258613857,0.15880115243736775,0.19154065820013083,0.2242801639628939
1982,8.467738401400483,0.1616393575720525,0.15497368623371993,0.1833143500052466,0.21165501377677326
1983,9.815010903608671,0.14853495695024344,0.14380140786060122,0.16422437117024677,0.18464733447989232
1984,9.595054801133458,0.14376927987818067,0.13808736361674023,0.15951227196953854,0.18093718032233685
1985,11.690521474467593,0.14977453522258877,0.12722960473403921,0.13832541264933562,0.14942122056463203
1986,14.085139814743307,0.14925815144725352,0.11851940822428055,0.12014143027167846,0.12176345231907638
1987,13.389028514426967,0.18153172429622577,0.11948201328318882,0.12370040794730448,0.12791880261142013
1988,14.702086748571997,0.18802896596553764,0.1136131011014024,0.11313244256489831,0.11265178402839422
1989,17.650212904947328,0.17988771163017137,0.10170090785688508,0.09223741337391779,0.0827739188909505
1990,15.846314974728765,0.1757081055557903,0.10060301383644747,0.09651463871741377,0.09242626359838006
1991,18.441652313512723,0.13678978000775865,0.08946923626100368,0.0780159542212664,0.06656267218152913
1992,20.44860672124296,0.09553868900137363,0.08557453897232417,0.06924801287440788,0.05292148677649158
1993,21.164732079814637,0.10721920265471052,0.08308469158681109,0.06527254581998881,0.04746040005316654
1994,19.91148410809033,0.12014114477311533,0.08374116855506554,0.06904728897937963,0.05435340940369372
1995,25.027380664939106,0.09175705901724895,0.07598210866899732,0.050537754901035764,0.025093401133074206
1996,27.723946163893967,0.0832510032558249,0.07584494659690287,0.04587125556510922,0.015897564533315575
1997,33.03078904290541,0.06024390419245096,0.06915920701276146,0.031446354710104485,-0.006266497592552489
1998,38.820274780098146,-0.013922751377415166,0.06385154479278227,0.01926488176778024,-0.025321781257221787
1999,44.19793976104056,-0.007256688250025678,0.059970096461597754,0.0101728690236624,-0.039624358414272955
2000,37.2742380044972,0.011830000955471931,0.057843572178940914,0.016424719471546265,-0.024994133235848384
2001,30.49995325502044,0.02794695707533945,0.057849913496650515,0.026123556988287597,-0.005602799520075322
2002,23.101442537685635,0.06784147037752875,0.061451232546417975,0.043168042966076944,0.024884853385735914
2003,26.635170511081522,0.07417791676424734,0.05880192780917884,0.03390898507874732,0.009016042348315795
2004,27.144808694741226,0.07704478849220942,0.05949776165301651,0.033954150670654215,0.008410539688291918
2005,26.443803114292404,0.07185701078503448,0.0617660413892666,0.037700490689485874,0.01363493998970515
2006,27.282689787571684,0.06945492709466561,0.060947079432449064,0.035626230966470024,0.010305382500490984
2007,25.955510105240226,0.08330470775264587,0.06449926391527278,0.04179647395568281,0.019093683996092847
2008,15.376080747423767,0.13654226731173313,0.07655711457229421,0.07961746335988319,0.08267781214747218
2009,20.322376500216528,0.1331070346626213,0.0644250329449079,0.053661896457663866,0.042898759970419836
2010,22.396379773044195,0.13748499334020003,0.06065988246550613,0.045265099172540735,0.029870315879575338
2011,20.523575499431693,0.16372542473148122,0.06502219667594132,0.054000019974720634,0.04297784327349995
2012,21.23826113984561,0.12734304334961632,0.06509791314751324,0.05251554647598196,0.03993317980445067
2013,24.861869296461936,0.12016866064348486,0.062101167547197106,0.04204911568644651,0.02199706382569591
2014,26.794085482572562,0.13316194098605805,0.05943981723741412,0.036001454483475276,0.01256309172953643
2015,25.96542403712418,0.14723896572200768,0.058680478873500155,0.036947037074903225,0.015213595276306294
